date,monday,tuesday,wednesday,thursday,friday
2016 Oct-17 to Oct-21,49.31,49.81,51.85,50.42,50.28
2016 Oct-24 to Oct-28,49.8,49.08,48.98,49.13,47.78
2016 Oct-31 to Nov- 4,46.2,45.77,44.26,43.84,43.06
2016 Nov- 7 to Nov-11,42.83,43.47,43.88,43.67,41.61
2016 Nov-14 to Nov-18,41.83,44.15,45.07,44.57,44.41
2016 Nov-21 to Nov-25,45.96,46.1,46.54,47.54,46.32
2016 Nov-28 to Dec- 2,46.64,44.68,47.95,52.28,52.35
2016 Dec- 5 to Dec- 9,53.3,52.31,51.9,51.6,52.19
2016 Dec-12 to Dec-16,53.99,53.28,53.15,51.72,54.15
2016 Dec-19 to Dec-23,53.53,54.56,53.01,54.04,53.93
2016 Dec-26 to Dec-30,,,54.95,54.97,54.96
2017 Jan- 2 to Jan- 6,,55.05,54.57,54.99,55.9
2017 Jan- 9 to Jan-13,54.39,53.2,53.61,54.51,54.37
2017 Jan-16 to Jan-20,54.3,54.68,53.77,53.18,55.04
2017 Jan-23 to Jan-27,54.8,54.7,54.34,55.89,54.8
2017 Jan-30 to Feb- 3,54.77,55.25,55.79,55.94,55.92
2017 Feb- 6 to Feb-10,55.02,53.79,54.42,53.98,55.2
2017 Feb-13 to Feb-17,54.15,54.96,54.57,54.16,54.48
2017 Feb-20 to Feb-24,55.25,56.34,54.9,55.82,54.69
2017 Feb-27 to Mar- 3,54.65,53.36,55.72,54.16,54.12
2017 Mar- 6 to Mar-10,54.73,54.61,53.3,50.65,50.63
2017 Mar-13 to Mar-17,50.1,49.6,50.63,50.56,50.58
2017 Mar-20 to Mar-24,50.67,50.14,49.56,50.17,49.97
2017 Mar-27 to Mar-31,50.12,50.72,51.36,52.25,52.2
2017 Apr- 3 to Apr- 7,52.04,53.08,53.41,53.62,54.24
2017 Apr-10 to Apr-14,54.79,54.73,54.75,55.05,
2017 Apr-17 to Apr-21,54.79,52.6,52.43,50.66,49.93
2017 Apr-24 to Apr-28,49.45,49.37,49.99,49.46,49.46
2017 May- 1 to May- 5,50.41,49.31,48.82,47.53,47.45
2017 May- 8 to May-12,46.61,47.06,48.09,49.18,49.08
2017 May-15 to May-19,51.29,51.21,51.76,51.71,52.78
2017 May-22 to May-26,53.35,53.19,53.29,52.25,50.84
2017 May-29 to Jun- 2,52.25,50.65,49.4,50.41,48.46
2017 Jun- 5 to Jun- 9,48.25,48.11,47.08,46.3,46.64
2017 Jun-12 to Jun-16,47.18,46.95,45.47,45.61,45.7
2017 Jun-19 to Jun-23,45.93,43.98,44.62,44.46,44.14
2017 Jun-26 to Jun-30,44.09,46.17,46.45,47.02,47.08
2017 Jul- 3 to Jul- 7,49.13,49.15,47.58,48.53,46.47
2017 Jul-10 to Jul-14,46.57,46.68,46.73,47.65,47.89
2017 Jul-17 to Jul-21,47.66,47.92,48.34,48.54,47.47
2017 Jul-24 to Jul-28,47.81,49.19,50.08,50.67,52
2017 Jul-31 to Aug- 4,51.99,50.77,52.09,52.88,52.48
2017 Aug- 7 to Aug-11,51.42,52.18,52.16,52.59,51.47
2017 Aug-14 to Aug-18,51.29,49.9,50.39,50.37,50.96
2017 Aug-21 to Aug-25,51.94,52.29,52.31,51.73,51.87
2017 Aug-28 to Sep- 1,51.87,51.64,51.91,52.69,53.15
2017 Sep- 4 to Sep- 8,52.6,53.63,54.48,54.16,54.55
2017 Sep-11 to Sep-15,54.2,55.06,55.52,56.76,56.18
2017 Sep-18 to Sep-22,55.5,56.58,57.2,57.73,58.16
2017 Sep-25 to Sep-29,59.42,59.77,58.74,58.8,57.02
2017 Oct- 2 to Oct- 6,55.67,56.12,56,57.09,55.5
2017 Oct- 9 to Oct-13,55.29,56.62,56.13,56.13,56.86
2017 Oct-16 to Oct-20,57.49,57.63,58.05,57.82,57.89
2017 Oct-23 to Oct-27,57.69,57.84,58.45,58.75,60.15
2017 Oct-30 to Nov- 3,60.65,61.35,60.98,60.79,61.42
2017 Nov- 6 to Nov-10,64.27,64.36,63.96,64.49,64.35
2017 Nov-13 to Nov-17,62.94,60.91,61.25,61.18,61.34
2017 Nov-20 to Nov-24,61.34,62.28,62.92,63.27,63.58
2017 Nov-27 to Dec- 1,63.25,63.56,63.74,63.53,64.57
2017 Dec- 4 to Dec- 8,63.45,63.45,62.25,62.37,63.86
2017 Dec-11 to Dec-15,65.62,64.96,63.66,63.72,63.81
2017 Dec-18 to Dec-22,64.45,63.69,64.43,64.64,64.61
2017 Dec-25 to Dec-29,,,66.03,66.8,66.73
2018 Jan- 1 to Jan- 5,,66.65,67.85,68.73,68.01
2018 Jan- 8 to Jan-12,68.48,69.08,69.79,70.36,69.64
2018 Jan-15 to Jan-19,70.31,69.4,69.19,69.48,68.56
2018 Jan-22 to Jan-26,69.32,69.81,69.91,71.08,70.08
2018 Jan-29 to Feb- 2,68.41,67.78,67.78,68.6,67.45
2018 Feb- 5 to Feb- 9,67.69,66.75,65.74,64.26,63.04
2018 Feb-12 to Feb-16,62.2,61.94,62.29,62.86,64.3
2018 Feb-19 to Feb-23,64.95,64.68,64.81,66.12,67.04
2018 Feb-26 to Mar- 2,67.96,67.59,66.08,64.23,64.26
2018 Mar- 5 to Mar- 9,65.78,65.67,65.09,63.87,65.19
2018 Mar-12 to Mar-16,64.53,64.2,63.61,63.67,64.68
2018 Mar-19 to Mar-23,64.82,66,68.15,68.98,69.03
2018 Mar-26 to Mar-30,68.81,68.63,68.13,69.02,
2018 Apr- 2 to Apr- 6,,69.02,66.04,66.54,66.51
2018 Apr- 9 to Apr-13,68.19,70.67,72.74,71.44,73.18
2018 Apr-16 to Apr-20,72.05,71.71,73.73,74.85,74.62
2018 Apr-23 to Apr-27,74.54,75.86,73.79,75.39,75.33
2018 Apr-30 to May- 4,75.92,74.85,73.14,73.45,74.75
2018 May- 7 to May-11,,74.16,77.6,77.59,77.37
2018 May-14 to May-18,78.17,78.94,78.19,80.09,78.38
2018 May-21 to May-25,78.34,80.42,78.69,78.9,76.6
2018 May-28 to Jun- 1,,74.51,75.89,76.45,74.54
2018 Jun- 4 to Jun- 8,73.41,72.91,73.23,75.23,75.11
2018 Jun-11 to Jun-15,74.58,74.86,75.07,74.77,72.02
2018 Jun-18 to Jun-22,74.87,74.92,74.25,72.87,73.67
2018 Jun-25 to Jun-29,72.82,73.58,76.09,76.26,77.44
2018 Jul- 2 to Jul- 6,76.71,75.87,76.99,77.09,74.98
2018 Jul- 9 to Jul-13,77.08,77.8,75.35,72.11,74.11
2018 Jul-16 to Jul-20,71.03,70.87,70.52,71.94,71.99
2018 Jul-23 to Jul-27,73.45,73.53,73.67,74.51,74.84
2018 Jul-30 to Aug- 3,74.99,74.16,72.28,72.95,72.48
2018 Aug- 6 to Aug-10,72.51,72.31,70.71,70.55,71
2018 Aug-13 to Aug-17,70.62,70.77,68.38,69.21,70.14
2018 Aug-20 to Aug-24,71.11,71.65,72.96,73.73,74.41
2018 Aug-27 to Aug-31,74.41,75.91,76.07,77.05,76.94
2018 Sep- 3 to Sep- 7,77.81,77.51,76.68,75.67,75.55
2018 Sep-10 to Sep-14,76.77,78.22,80.02,77.66,77.87
2018 Sep-17 to Sep-21,78.22,79.25,79.43,79.03,78.9
2018 Sep-24 to Sep-28,80.89,82.21,81.87,81.54,82.72
2018 Oct- 1 to Oct- 5,84.94,85.63,85.45,86.07,85.12
2018 Oct- 8 to Oct-12,84.22,85.16,83.82,81.35,80.71
2018 Oct-15 to Oct-19,80.91,80.53,79.91,80.3,80.38
2018 Oct-22 to Oct-26,80.45,78.67,77.34,77.3,77.4
2018 Oct-29 to Nov- 2,77.56,75.68,74.84,71.25,71.11
2018 Nov- 5 to Nov- 9,72.68,70.64,70.1,69.29,69.01
2018 Nov-12 to Nov-16,69.81,65.45,64.88,65.61,65.29
2018 Nov-19 to Nov-23,64.14,61.5,61.65,61.11,57.69
2018 Nov-26 to Nov-30,59.7,59.58,57.97,58.29,57.71
2018 Dec- 3 to Dec- 7,60.17,61.22,61.4,57.83,61.71
2018 Dec-10 to Dec-14,60.29,59.73,59.94,59.03,58.56
2018 Dec-17 to Dec-21,57.59,55.26,55.6,52.84,51.93
2018 Dec-24 to Dec-28,,,,51.49,50.57
2018 Dec-31 to Jan- 4,,,54.06,53.23,55.64
2019 Jan- 7 to Jan-11,57.1,56.91,59.46,60.47,59.24
2019 Jan-14 to Jan-18,58.8,58.65,59.81,59.85,62.04
2019 Jan-21 to Jan-25,62.18,60.9,61.05,61.09,61.49
2019 Jan-28 to Feb- 1,59.71,60.98,61.89,62.46,61.86
2019 Feb- 4 to Feb- 8,62.26,61.67,62.22,61.01,61.37
2019 Feb-11 to Feb-15,61.3,62.58,63.27,64,65.65
2019 Feb-18 to Feb-22,66.41,65.86,66.82,66.91,66.91
2019 Feb-25 to Mar- 1,64.02,64.51,65.55,65.03,63.71
2019 Mar- 4 to Mar- 8,64.44,64.24,64.51,64.82,65.66
2019 Mar-11 to Mar-15,65.06,65.33,65.89,66.18,66.11
2019 Mar-18 to Mar-22,66.65,67.13,68.35,68.3,66.29
2019 Mar-25 to Mar-29,67.37,67.51,67.35,66.08,67.93
2019 Apr- 1 to Apr- 5,69.08,69.68,69.21,69.8,69.93
2019 Apr- 8 to Apr-12,71.12,71.02,71.63,71.3,71.57
2019 Apr-15 to Apr-19,70.9,70.74,71.14,70.71,
2019 Apr-22 to Apr-26,70.71,74.39,73.59,74.94,71.03
2019 Apr-29 to May- 3,71.22,72.19,72.01,70.56,71.95
2019 May- 6 to May-10,71.95,70.98,71.09,70.61,71.63
2019 May-13 to May-17,72.35,72.53,73.09,74.7,73.94
2019 May-20 to May-24,73.21,72.94,71.94,68.37,67.98
2019 May-27 to May-31,,70.19,70.64,69.55,66.78
2019 Jun- 3 to Jun- 7,63.16,63.56,62.14,62.77,64.1
2019 Jun-10 to Jun-14,64.31,63.56,61.66,63.28,63.13
2019 Jun-17 to Jun-21,62.56,63.35,62.85,65.44,65.99
2019 Jun-24 to Jun-28,65.16,66.24,66.85,66.78,67.52
2019 Jul- 1 to Jul- 5,65.1,62.72,63.53,63.62,64.23
2019 Jul- 8 to Jul-12,64.89,64.3,66.41,67.64,66.65
2019 Jul-15 to Jul-19,66.86,65.87,63.67,60.7,61.04
2019 Jul-22 to Jul-26,61.96,62.28,63.83,63.47,62.46
2019 Jul-29 to Aug- 2,62.29,62.55,64.07,62.9,61.12
2019 Aug- 5 to Aug- 9,59.32,58.63,55.03,56.29,57.37
2019 Aug-12 to Aug-16,57.13,59.9,57.86,57.37,59
2019 Aug-19 to Aug-23,59.79,59.03,60.6,59.81,58.64
2019 Aug-26 to Aug-30,58.64,58.44,60.42,60.59,61.04
2019 Sep- 2 to Sep- 6,58.55,57.93,60.68,62.7,61.28
2019 Sep- 9 to Sep-13,63.99,64.67,63.02,60.76,61.25
2019 Sep-16 to Sep-20,68.42,65.59,64.29,64.25,65.23
2019 Sep-23 to Sep-27,64.66,64.13,62.41,62.08,62.48
2019 Sep-30 to Oct- 4,60.99,60.06,57.92,58.01,59.13
2019 Oct- 7 to Oct-11,59.46,58.14,59.7,59.08,60.59
2019 Oct-14 to Oct-18,58.81,59.19,59.3,59.35,59.96
2019 Oct-21 to Oct-25,58.95,60.5,60.52,61.71,62.06
2019 Oct-28 to Nov- 1,60.39,61.05,60.22,59.3,60.17
2019 Nov- 4 to Nov- 8,62.52,62.72,62.11,62.6,62
2019 Nov-11 to Nov-15,62.58,62.19,62.27,62.46,63.32
2019 Nov-18 to Nov-22,62.82,62.37,63.8,64.99,64.83
2019 Nov-25 to Nov-29,64.67,64.82,65.03,64.68,64.5
2019 Dec- 2 to Dec- 6,63.2,62.95,65.25,65.67,66.5
2019 Dec- 9 to Dec-13,66.44,66.57,65.37,66.67,67.44
2019 Dec-16 to Dec-20,68.04,68.99,69.12,69.7,68.66
2019 Dec-23 to Dec-27,67.49,69.26,,69.26,68.91
2019 Dec-30 to Jan- 3,68.3,67.77,,67.05,69.08
2020 Jan- 6 to Jan-10,70.25,68.74,67.31,66.58,66.77
2020 Jan-13 to Jan-17,64.14,64.45,63.29,64.63,64.05
2020 Jan-20 to Jan-24,64.63,63.66,62.11,61.26,59.34
2020 Jan-27 to Jan-31,58.54,59.37,59.46,57.72,57.77
2020 Feb- 3 to Feb- 7,54,53.9,55.36,55.18,54.53
2020 Feb-10 to Feb-14,53.39,54,55.54,56.34,57.37
2020 Feb-17 to Feb-21,57.83,57.35,59.72,59.57,58.6
2020 Feb-24 to Feb-28,56.71,55.29,54.96,52.19,51.31
2020 Mar- 2 to Mar- 6,52.52,52.24,51.86,51.29,45.6
2020 Mar- 9 to Mar-13,35.33,35.57,34.45,31.02,32.25
2020 Mar-16 to Mar-20,27.98,27.97,22.79,23.98,25.55
2020 Mar-23 to Mar-27,23.75,24.5,25.62,23.55,22.39
2020 Mar-30 to Apr- 3,19.19,14.85,14.97,20.24,24.33
2020 Apr- 6 to Apr-10,22.58,22.1,25.22,20.23,
2020 Apr-13 to Apr-17,,21.74,19.8,18.69,19.75
2020 Apr-20 to Apr-24,17.36,9.12,13.77,15.06,15.87
2020 Apr-27 to May- 1,15.17,15.6,17.86,18.11,18.49
2020 May- 4 to May- 8,20.4,25.46,24.2,24.23,
2020 May-11 to May-15,25.53,26.67,27.89,29.87,30.95
2020 May-18 to May-22,33.3,33.06,34.76,34.78,33.8
2020 May-25 to May-29,,33.95,32.73,33.98,34.15
2020 Jun- 1 to Jun- 5,36.74,37.72,37.98,38.41,41
2020 Jun- 8 to Jun-12,39.66,40.45,41.18,37.76,38.54
2020 Jun-15 to Jun-19,39.44,40.75,40.47,41.75,42.33
2020 Jun-22 to Jun-26,43.2,42.72,40.4,41.18,40.97
2020 Jun-29 to Jul- 3,41.58,41.64,42.18,43.19,42.92
2020 Jul- 6 to Jul-10,42.73,43.28,43.67,42.35,43.27
2020 Jul-13 to Jul-17,42.85,42.97,43.96,43.71,43.53
2020 Jul-20 to Jul-24,43.3,44.31,43.98,42.96,43.29
2020 Jul-27 to Jul-31,43.39,43.11,43.51,42.98,43.13
2020 Aug- 3 to Aug- 7,43.76,43.99,44.92,45.04,44.07
2020 Aug-10 to Aug-14,44.19,43.68,45.09,44.87,44.86
2020 Aug-17 to Aug-21,44.91,45.34,45.21,44.56,43.94
2020 Aug-24 to Aug-28,44.43,46.01,45.79,44.84,45.22
2020 Aug-31 to Sep- 4,,45.72,42.7,42.72,41.1
2020 Sep- 7 to Sep-11,40.67,38.53,39.98,39.27,38.8
2020 Sep-14 to Sep-18,38.57,39.54,41.23,42.35,42.16
2020 Sep-21 to Sep-25,40.37,40.84,41.09,41.24,40.91
2020 Sep-28 to Oct- 2,41.59,40.33,40.3,39.75,38
2020 Oct- 5 to Oct- 9,39.78,41.27,40.62,42,41.63
2020 Oct-12 to Oct-16,40.5,41.34,41.81,41.61,41.34
2020 Oct-19 to Oct-23,41.29,41.62,40.09,41.28,40.71
2020 Oct-26 to Oct-30,39.06,39.72,37.86,36.56,36.33
2020 Nov- 2 to Nov- 6,37.78,38.17,39.68,39.47,38.08
2020 Nov- 9 to Nov-13,40.93,42.25,42.5,42.16,41.51
2020 Nov-16 to Nov-20,42.71,42.54,42.91,43.09,43.79
2020 Nov-23 to Nov-27,45,46.63,47.3,46.32,46.88
2020 Nov-30 to Dec- 4,46.84,47.03,47.8,48.37,49.1
2020 Dec- 7 to Dec-11,48.63,48.84,48.81,50.33,50.01
2020 Dec-14 to Dec-18,50.27,50.77,50.83,51.2,52.17
2020 Dec-21 to Dec-25,50.61,49.88,51.05,50.88,
2020 Dec-28 to Jan- 1,50.88,50.44,50.74,51.22,
2021 Jan- 4 to Jan- 8,50.37,53.16,53.8,53.7,55.51
2021 Jan-11 to Jan-15,54.84,55.98,55.52,55.76,54.8
2021 Jan-18 to Jan-22,54.21,55.38,55.66,55.68,55.22
2021 Jan-25 to Jan-29,55.44,55.26,55.07,54.87,55.25
2021 Feb- 1 to Feb- 5,56.42,57.62,58.61,58.98,59.48
2021 Feb- 8 to Feb-12,60.17,60.74,61.17,61.09,62.47
2021 Feb-15 to Feb-19,63.58,63.96,65.02,64.09,62.84
2021 Feb-22 to Feb-26,64.73,65.16,66.85,66.69,65.86
2021 Mar- 1 to Mar- 5,64.56,63.17,64.7,67.32,69.95
2021 Mar- 8 to Mar-12,68,67.03,67.53,69.34,68.87
2021 Mar-15 to Mar-19,68.78,67.95,67.73,62.11,64
2021 Mar-22 to Mar-26,63.89,59.96,63.7,61.21,63.77
2021 Mar-29 to Apr- 2,64.06,63.28,63.52,63.85,
2021 Apr- 5 to Apr- 9,,61.47,61.86,62.09,61.89
2021 Apr-12 to Apr-16,62.38,62.83,66.11,66.13,65.98
2021 Apr-19 to Apr-23,66.54,65.34,64.02,65.07,65.75
2021 Apr-26 to Apr-30,65.5,66.25,67.08,68.26,67.73
2021 May- 3 to May- 7,,68.91,69.71,68.62,68.73
2021 May-10 to May-14,68.61,68.83,69.62,67.36,69.24
2021 May-17 to May-21,69.62,69.01,66.88,65.18,66.72
2021 May-24 to May-28,68.59,68.8,68.93,69.43,69.36
2021 May-31 to Jun- 4,,70.03,70.6,70.71,71.3
2021 Jun- 7 to Jun-11,70.89,71.39,71.31,71.65,72.05
2021 Jun-14 to Jun-18,72.27,73.38,73.88,72.92,73.1
2021 Jun-21 to Jun-25,74.49,74.92,75.22,75.95,76.45
2021 Jun-28 to Jul- 2,74.78,75.38,76.94,76.69,77.51
2021 Jul- 5 to Jul- 9,78.34,75.81,74.31,75.07,77.14
2021 Jul-12 to Jul-16,76.77,77.5,75.74,74.53,74.46
2021 Jul-19 to Jul-23,69.33,70.03,72.54,74.25,74.86
2021 Jul-26 to Jul-30,74.79,74.87,75.09,76.3,77.72
2021 Aug- 2 to Aug- 6,73.91,73.24,70.99,72.14,71.02
2021 Aug- 9 to Aug-13,69.65,71.14,71.99,71.79,70.9
2021 Aug-16 to Aug-20,70.07,69.4,68.61,66.8,65.51
2021 Aug-23 to Aug-27,69.07,71.21,72.12,70.42,72.26
2021 Aug-30 to Sep- 3,,73.45,71.99,73.56,73.07
2021 Sep- 6 to Sep-10,72.43,71.52,72.36,71.32,72.44
2021 Sep-13 to Sep-17,72.97,73.05,74.84,75.14,74.64
2021 Sep-20 to Sep-24,73.59,73.65,75.5,76.44,77.42
2021 Sep-27 to Oct- 1,78.85,78.3,77.86,77.81,79.4
2021 Oct- 4 to Oct- 8,81.44,82.72,81.39,82.34,82.17
2021 Oct-11 to Oct-15,83.75,83.53,83.53,83.86,84.67
2021 Oct-18 to Oct-22,84.13,85.02,85.76,84.58,85.43
2021 Oct-25 to Oct-29,84.85,85.11,84.12,83.4,83.1
2021 Nov- 1 to Nov- 5,84.51,84.42,81.1,80.15,82.43
2021 Nov- 8 to Nov-12,83.22,84.52,82.91,83.4,82.9
2021 Nov-15 to Nov-19,81.94,82.85,80.67,82.45,80.24
2021 Nov-22 to Nov-26,80.97,83.43,82.37,82.05,72.37
2021 Nov-29 to Dec- 3,73.34,70.86,69.53,70.56,70.71
2021 Dec- 6 to Dec-10,73.38,75.54,75.94,74.1,74.98
2021 Dec-13 to Dec-17,74.12,73.37,73.71,74.64,72.97
2021 Dec-20 to Dec-24,70.51,72.85,74.69,76.26,75.24
2021 Dec-27 to Dec-31,,,78.63,78.61,77.24
2022 Jan- 3 to Jan- 7,78.25,79.39,80.6,81.99,82.28
2022 Jan-10 to Jan-14,81.56,84.98,85.83,85.8,87.17
2022 Jan-17 to Jan-21,87.82,88.83,89.64,89.75,89.75
2022 Jan-24 to Jan-28,87.74,89.49,91.22,90.7,91.47
2022 Jan-31 to Feb- 4,92.35,90.24,91.43,92.99,96.86
2022 Feb- 7 to Feb-11,97.28,96.07,94.95,96.37,97.5
2022 Feb-14 to Feb-18,101.66,98.43,97.44,95.28,96.18
2022 Feb-21 to Feb-25,98.95,98.73,99.29,101.29,98.56
2022 Feb-28 to Mar- 4,103.08,110.93,118.94,115.36,123.86
2022 Mar- 7 to Mar-11,129.02,133.18,116.58,114.54,118.11
2022 Mar-14 to Mar-18,110.39,105.14,104.61,113.5,114.32
2022 Mar-21 to Mar-25,122.29,121.53,127.52,123.98,122.67
2022 Mar-28 to Apr- 1,114.5,112.79,115.59,107.29,106.13
2022 Apr- 4 to Apr- 8,108.15,106.6,100.81,99.83,101.26
2022 Apr-11 to Apr-15,97.92,104.42,108.49,110.83,
2022 Apr-18 to Apr-22,,105.49,105.05,107.2,105.15
2022 Apr-25 to Apr-29,99.27,102.89,103.3,105.78,108.36
2022 May- 2 to May- 6,,104.94,110.53,112.11,113.86
2022 May- 9 to May-13,106.67,102.61,107.7,108.06,112.12
2022 May-16 to May-20,114.86,112.89,110.04,113.22,113.63
2022 May-23 to May-27,115.13,115.77,116.41,119.81,121.19
2022 May-30 to Jun- 3,123.01,125.53,122.2,,125.68
2022 Jun- 6 to Jun-10,124.99,126.89,129.2,128.47,127.44
2022 Jun-13 to Jun-17,128.44,127.02,124.96,125.78,119.22
2022 Jun-20 to Jun-24,118.25,118.51,115.54,114.5,117.36
2022 Jun-27 to Jul- 1,119.69,122.21,120.8,119.78,119.21
2022 Jul- 4 to Jul- 8,121.8,110.49,108.54,113.4,113.95
2022 Jul-11 to Jul-15,114.85,106.98,107.17,107.74,112.26
2022 Jul-18 to Jul-22,117.27,114.96,115.86,112.81,106.77
2022 Jul-25 to Jul-29,108.23,107.32,109.64,109.68,111.51
2022 Aug- 1 to Aug- 5,106.09,106.51,101.82,97.99,100.31
2022 Aug- 8 to Aug-12,103.46,103.81,105.06,107.19,103.7
2022 Aug-15 to Aug-19,98.25,95.36,97.22,96.35,96.45
2022 Aug-22 to Aug-26,95.06,99.49,99.87,98.81,101.13
2022 Aug-29 to Sep- 2,,99.34,96.55,92.24,93.09
2022 Sep- 5 to Sep- 9,94.22,91.43,86.83,87.99,91.68
2022 Sep-12 to Sep-16,93.45,92.04,92.83,89.28,89.43
2022 Sep-19 to Sep-23,,89.62,89.86,90.4,84.29
2022 Sep-26 to Sep-30,82.55,85.97,89.55,89.41,88.9
2022 Oct- 3 to Oct- 7,90.68,93.74,94.35,95.65,98.88
2022 Oct-10 to Oct-14,97.13,95.17,93.44,95.16,92.22
2022 Oct-17 to Oct-21,91.04,89.46,91.34,91.52,91.82
2022 Oct-24 to Oct-28,91.57,91.76,92.93,94.17,94.64
2022 Oct-31 to Nov- 4,93.3,95.12,96.07,95.29,99.53
2022 Nov- 7 to Nov-11,99.87,96.85,93.05,94.25,96.37
2022 Nov-14 to Nov-18,93.59,94.3,92.61,91,88.93
2022 Nov-21 to Nov-25,88.44,88.65,85.9,85.59,83.4
2022 Nov-28 to Dec- 2,83.5,83.22,85.61,86.28,86.54
2022 Dec- 5 to Dec- 9,83.36,79.92,77.11,76.02,76.37
2022 Dec-12 to Dec-16,78,80.14,83.33,82.34,80.2
2022 Dec-19 to Dec-23,81.66,79.45,80.25,79.58,82.45
2022 Dec-26 to Dec-30,,,81.7,80.96,82.82
2023 Jan- 2 to Jan- 6,,80.36,75.31,76.73,76.41
2023 Jan- 9 to Jan-13,77.5,78.4,81.11,82.59,83.43
2023 Jan-16 to Jan-20,82.65,84.38,83.78,85.08,86.96
2023 Jan-23 to Jan-27,87.54,85.25,85.08,86.29,85.36
2023 Jan-30 to Feb- 3,84.9,83.42,81.61,80.57,78.85
2023 Feb- 6 to Feb-10,80.48,82.92,84.17,83.46,85.46
2023 Feb-13 to Feb-17,85.98,84.96,84.11,83.84,81.97
2023 Feb-20 to Feb-24,82.79,82.14,79.55,82.08,82.31
2023 Feb-27 to Mar- 3,81.24,83.21,83.68,84.15,85.74
2023 Mar- 6 to Mar-10,85.86,83.03,82.1,81,82.3
2023 Mar-13 to Mar-17,79.67,76.77,74.3,73.12,71.03
2023 Mar-20 to Mar-24,72.42,74.78,76.08,74.31,73.63
2023 Mar-27 to Mar-31,76.8,78.07,77.51,78.45,79.19
2023 Apr- 3 to Apr- 7,85.81,85.7,85.89,86.56,
2023 Apr-10 to Apr-14,,87.32,88.31,86.51,87.31
2023 Apr-17 to Apr-21,85.63,85.48,85.34,83.29,83.36
2023 Apr-24 to Apr-28,84.23,82.13,79.19,80.11,81.32
2023 May- 1 to May- 5,,76.71,72.91,73,75.85
2023 May- 8 to May-12,,77.76,76.7,75.32,74.54
2023 May-15 to May-19,75.46,75.15,76.98,75.75,75.42
2023 May-22 to May-26,75.77,76.66,77.99,75.66,76.33
2023 May-29 to Jun- 2,,73.38,71.98,74.18,76
2023 Jun- 5 to Jun- 9,76.61,76.22,76.85,75.88,74.74
2023 Jun-12 to Jun-16,71.8,,,,
